id,title,subtitle,category,subcategory,cover,rating,pages,language,price,is_premium,is_new,is_trending,description
37,Understanding Qadar,A comprehensive guide to understanding qadar,Islamic,Aqeedah,/covers/cover_037.jpg,3.8,359,english,500,false,true,true,"Discover the depth and beauty of Understanding Qadar. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
38,Angels in Islam,A comprehensive guide to angels in islam,Islamic,Aqeedah,/covers/cover_038.jpg,3.9,366,bilingual,350,false,true,true,"Discover the depth and beauty of Angels in Islam. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
39,Books of Aqeedah,A comprehensive guide to books of aqeedah,Islamic,Aqeedah,/covers/cover_039.jpg,4.0,373,urdu,500,false,true,true,"Discover the depth and beauty of Books of Aqeedah. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
40,True Monotheism,A comprehensive guide to true monotheism,Islamic,Aqeedah,/covers/cover_040.jpg,4.1,380,english,300,true,true,true,"Discover the depth and beauty of True Monotheism. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
41,Morning and Evening Duas,A comprehensive guide to morning and evening duas,Islamic,Duas & Supplications,/covers/cover_041.jpg,4.2,387,bilingual,750,false,true,true,"Discover the depth and beauty of Morning and Evening Duas. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
42,Duas from the Quran,A comprehensive guide to duas from the quran,Islamic,Duas & Supplications,/covers/cover_042.jpg,4.3,394,urdu,500,false,true,true,"Discover the depth and beauty of Duas from the Quran. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
43,Duas for Protection,A comprehensive guide to duas for protection,Islamic,Duas & Supplications,/covers/cover_043.jpg,4.4,401,english,750,false,true,false,"Discover the depth and beauty of Duas for Protection. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
44,Duas for Success,A comprehensive guide to duas for success,Islamic,Duas & Supplications,/covers/cover_044.jpg,4.5,408,bilingual,450,false,true,true,"Discover the depth and beauty of Duas for Success. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
45,Duas for Healing,A comprehensive guide to duas for healing,Islamic,Duas & Supplications,/covers/cover_045.jpg,4.6,415,urdu,400,true,true,true,"Discover the depth and beauty of Duas for Healing. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
46,Forty Rabbana Duas,A comprehensive guide to forty rabbana duas,Islamic,Duas & Supplications,/covers/cover_046.jpg,4.7,422,english,800,false,true,true,"Discover the depth and beauty of Forty Rabbana Duas. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
47,Duas for Children,A comprehensive guide to duas for children,Islamic,Duas & Supplications,/covers/cover_047.jpg,4.8,429,bilingual,700,false,true,true,"Discover the depth and beauty of Duas for Children. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
48,Duas for Travel,A comprehensive guide to duas for travel,Islamic,Duas & Supplications,/covers/cover_048.jpg,4.9,436,urdu,450,false,true,true,"Discover the depth and beauty of Duas for Travel. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
49,Duas for Anxiety,A comprehensive guide to duas for anxiety,Islamic,Duas & Supplications,/covers/cover_049.jpg,5.0,443,english,600,false,true,true,"Discover the depth and beauty of Duas for Anxiety. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
50,Complete Dua Handbook,A comprehensive guide to complete dua handbook,Islamic,Duas & Supplications,/covers/cover_050.jpg,5.1,450,bilingual,400,true,true,true,"Discover the depth and beauty of Complete Dua Handbook. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
51,Islamic Banking Guide,A comprehensive guide to islamic banking guide,Islamic,Islamic Finance,/covers/cover_051.jpg,3.5,457,urdu,900,false,false,false,"Discover the depth and beauty of Islamic Banking Guide. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
52,Zakat Made Simple,A comprehensive guide to zakat made simple,Islamic,Islamic Finance,/covers/cover_052.jpg,3.6,464,english,550,false,false,false,"Discover the depth and beauty of Zakat Made Simple. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
53,Halal Investment,A comprehensive guide to halal investment,Islamic,Islamic Finance,/covers/cover_053.jpg,3.7,471,bilingual,850,false,true,true,"Discover the depth and beauty of Halal Investment. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
54,Wealth in Islam,A comprehensive guide to wealth in islam,Islamic,Islamic Finance,/covers/cover_054.jpg,3.8,478,urdu,1200,false,true,true,"Discover the depth and beauty of Wealth in Islam. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
55,Islamic Economics,A comprehensive guide to islamic economics,Islamic,Islamic Finance,/covers/cover_055.jpg,3.9,485,english,850,true,true,true,"Discover the depth and beauty of Islamic Economics. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
56,Riba-Free Living,A comprehensive guide to riba-free living,Islamic,Islamic Finance,/covers/cover_056.jpg,4.0,492,bilingual,750,false,true,true,"Discover the depth and beauty of Riba-Free Living. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
57,Islamic Will Writing,A comprehensive guide to islamic will writing,Islamic,Islamic Finance,/covers/cover_057.jpg,4.1,499,urdu,500,false,true,true,"Discover the depth and beauty of Islamic Will Writing. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
58,Charity in Islam,A comprehensive guide to charity in islam,Islamic,Islamic Finance,/covers/cover_058.jpg,4.2,106,english,550,false,false,false,"Discover the depth and beauty of Charity in Islam. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
59,Business Ethics,A comprehensive guide to business ethics,Islamic,Islamic Finance,/covers/cover_059.jpg,4.3,113,bilingual,600,false,false,false,"Discover the depth and beauty of Business Ethics. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
60,Islamic Microfinance,A comprehensive guide to islamic microfinance,Islamic,Islamic Finance,/covers/cover_060.jpg,4.4,120,urdu,750,true,false,false,"Discover the depth and beauty of Islamic Microfinance. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
61,Muslim Daily Routine,A comprehensive guide to muslim daily routine,Islamic,Islamic Lifestyle,/covers/cover_061.jpg,4.5,127,english,700,false,false,false,"Discover the depth and beauty of Muslim Daily Routine. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
62,Adab and Manners,A comprehensive guide to adab and manners,Islamic,Islamic Lifestyle,/covers/cover_062.jpg,4.6,134,bilingual,400,false,false,false,"Discover the depth and beauty of Adab and Manners. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
63,Islamic Etiquette,A comprehensive guide to islamic etiquette,Islamic,Islamic Lifestyle,/covers/cover_063.jpg,4.7,141,urdu,550,false,false,true,"Discover the depth and beauty of Islamic Etiquette. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
64,Gratitude in Islam,A comprehensive guide to gratitude in islam,Islamic,Islamic Lifestyle,/covers/cover_064.jpg,4.8,148,english,400,false,false,false,"Discover the depth and beauty of Gratitude in Islam. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
65,Time Management for Muslims,A comprehensive guide to time management for muslims,Islamic,Islamic Lifestyle,/covers/cover_065.jpg,4.9,155,bilingual,650,true,false,false,"Discover the depth and beauty of Time Management for Muslims. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
66,Healthy Muslim Lifestyle,A comprehensive guide to healthy muslim lifestyle,Islamic,Islamic Lifestyle,/covers/cover_066.jpg,5.0,162,urdu,500,false,false,false,"Discover the depth and beauty of Healthy Muslim Lifestyle. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
67,Sleep Habits in Islam,A comprehensive guide to sleep habits in islam,Islamic,Islamic Lifestyle,/covers/cover_067.jpg,5.1,169,english,650,false,false,false,"Discover the depth and beauty of Sleep Habits in Islam. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
68,Islamic Home Decor,A comprehensive guide to islamic home decor,Islamic,Islamic Lifestyle,/covers/cover_068.jpg,3.5,176,bilingual,750,false,false,false,"Discover the depth and beauty of Islamic Home Decor. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
69,Modest Fashion Guide,A comprehensive guide to modest fashion guide,Islamic,Islamic Lifestyle,/covers/cover_069.jpg,3.6,183,urdu,500,false,false,false,"Discover the depth and beauty of Modest Fashion Guide. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
70,Muslim Identity,A comprehensive guide to muslim identity,Islamic,Islamic Lifestyle,/covers/cover_070.jpg,3.7,190,english,600,true,true,true,"Discover the depth and beauty of Muslim Identity. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
71,Islamic Parenting,A comprehensive guide to islamic parenting,Islamic,Parenting & Family,/covers/cover_071.jpg,3.8,197,bilingual,450,false,true,true,"Discover the depth and beauty of Islamic Parenting. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
72,Raising Righteous Children,A comprehensive guide to raising righteous children,Islamic,Parenting & Family,/covers/cover_072.jpg,3.9,204,urdu,450,false,false,false,"Discover the depth and beauty of Raising Righteous Children. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
73,Family in Islam,A comprehensive guide to family in islam,Islamic,Parenting & Family,/covers/cover_073.jpg,4.0,211,english,700,false,false,false,"Discover the depth and beauty of Family in Islam. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
74,Marriage in Islam,A comprehensive guide to marriage in islam,Islamic,Parenting & Family,/covers/cover_074.jpg,4.1,218,bilingual,750,false,false,false,"Discover the depth and beauty of Marriage in Islam. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
75,Teenage Parenting,A comprehensive guide to teenage parenting,Islamic,Parenting & Family,/covers/cover_075.jpg,4.2,225,urdu,700,true,false,false,"Discover the depth and beauty of Teenage Parenting. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
76,Prophetic Parenting,A comprehensive guide to prophetic parenting,Islamic,Parenting & Family,/covers/cover_076.jpg,4.3,232,english,800,false,false,false,"Discover the depth and beauty of Prophetic Parenting. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
77,Siblings in Islam,A comprehensive guide to siblings in islam,Islamic,Parenting & Family,/covers/cover_077.jpg,4.4,239,bilingual,350,false,false,true,"Discover the depth and beauty of Siblings in Islam. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
78,Grandparents Role,A comprehensive guide to grandparents role,Islamic,Parenting & Family,/covers/cover_078.jpg,4.5,246,urdu,700,false,false,false,"Discover the depth and beauty of Grandparents Role. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
79,Newborn Care Islamic,A comprehensive guide to newborn care islamic,Islamic,Parenting & Family,/covers/cover_079.jpg,4.6,253,english,400,false,false,false,"Discover the depth and beauty of Newborn Care Islamic. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
80,Children's Rights,A comprehensive guide to children's rights,Islamic,Parenting & Family,/covers/cover_080.jpg,4.7,260,bilingual,400,true,false,false,"Discover the depth and beauty of Children's Rights. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
81,Tibb-e-Nabawi,A comprehensive guide to tibb-e-nabawi,Islamic,Islamic Health,/covers/cover_081.jpg,4.8,267,urdu,350,false,false,false,"Discover the depth and beauty of Tibb-e-Nabawi. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
82,Islamic Medicine,A comprehensive guide to islamic medicine,Islamic,Islamic Health,/covers/cover_082.jpg,4.9,274,english,450,false,true,true,"Discover the depth and beauty of Islamic Medicine. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
83,Prophetic Foods,A comprehensive guide to prophetic foods,Islamic,Islamic Health,/covers/cover_083.jpg,5.0,281,bilingual,750,false,false,false,"Discover the depth and beauty of Prophetic Foods. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
84,Halal Nutrition,A comprehensive guide to halal nutrition,Islamic,Islamic Health,/covers/cover_084.jpg,5.1,288,urdu,700,false,false,true,"Discover the depth and beauty of Halal Nutrition. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
85,Mental Health in Islam,A comprehensive guide to mental health in islam,Islamic,Islamic Health,/covers/cover_085.jpg,3.5,295,english,650,true,false,false,"Discover the depth and beauty of Mental Health in Islam. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
86,Fitness for Muslims,A comprehensive guide to fitness for muslims,Islamic,Islamic Health,/covers/cover_086.jpg,3.6,302,bilingual,400,false,false,false,"Discover the depth and beauty of Fitness for Muslims. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
87,Islamic Psychology,A comprehensive guide to islamic psychology,Islamic,Islamic Health,/covers/cover_087.jpg,3.7,309,urdu,450,false,false,false,"Discover the depth and beauty of Islamic Psychology. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
88,Healing with Quran,A comprehensive guide to healing with quran,Islamic,Islamic Health,/covers/cover_088.jpg,3.8,316,english,400,false,false,false,"Discover the depth and beauty of Healing with Quran. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
89,Natural Remedies,A comprehensive guide to natural remedies,Islamic,Islamic Health,/covers/cover_089.jpg,3.9,323,bilingual,700,false,false,false,"Discover the depth and beauty of Natural Remedies. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
90,Wellness in Sunnah,A comprehensive guide to wellness in sunnah,Islamic,Islamic Health,/covers/cover_090.jpg,4.0,330,urdu,350,true,false,false,"Discover the depth and beauty of Wellness in Sunnah. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
91,Muslimah's Guide,A comprehensive guide to muslimah's guide,Islamic,Women in Islam,/covers/cover_091.jpg,4.1,337,english,550,false,false,true,"Discover the depth and beauty of Muslimah's Guide. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
92,Rights of Women,A comprehensive guide to rights of women,Islamic,Women in Islam,/covers/cover_092.jpg,4.2,344,bilingual,500,false,false,false,"Discover the depth and beauty of Rights of Women. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
93,Female Companions,A comprehensive guide to female companions,Islamic,Women in Islam,/covers/cover_093.jpg,4.3,351,urdu,750,false,true,true,"Discover the depth and beauty of Female Companions. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
94,Modesty and Empowerment,A comprehensive guide to modesty and empowerment,Islamic,Women in Islam,/covers/cover_094.jpg,4.4,358,english,400,false,false,false,"Discover the depth and beauty of Modesty and Empowerment. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
95,Motherhood in Islam,A comprehensive guide to motherhood in islam,Islamic,Women in Islam,/covers/cover_095.jpg,4.5,365,bilingual,600,true,false,false,"Discover the depth and beauty of Motherhood in Islam. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
96,Working Muslim Women,A comprehensive guide to working muslim women,Islamic,Women in Islam,/covers/cover_096.jpg,4.6,372,urdu,500,false,false,false,"Discover the depth and beauty of Working Muslim Women. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
97,Women in Quran,A comprehensive guide to women in quran,Islamic,Women in Islam,/covers/cover_097.jpg,4.7,379,english,500,false,false,false,"Discover the depth and beauty of Women in Quran. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
98,Islamic Feminism,A comprehensive guide to islamic feminism,Islamic,Women in Islam,/covers/cover_098.jpg,4.8,386,bilingual,650,false,false,true,"Discover the depth and beauty of Islamic Feminism. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
99,Sisterhood,A comprehensive guide to sisterhood,Islamic,Women in Islam,/covers/cover_099.jpg,4.9,393,urdu,350,false,false,false,"Discover the depth and beauty of Sisterhood. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
100,Beauty in Islam,A comprehensive guide to beauty in islam,Islamic,Women in Islam,/covers/cover_100.jpg,5.0,400,english,350,true,false,false,"Discover the depth and beauty of Beauty in Islam. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
101,Muslim Teen Guide,A comprehensive guide to muslim teen guide,Islamic,Youth & Teens,/covers/cover_101.jpg,5.1,407,bilingual,650,false,false,false,"Discover the depth and beauty of Muslim Teen Guide. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
102,Youth Challenges,A comprehensive guide to youth challenges,Islamic,Youth & Teens,/covers/cover_102.jpg,3.5,414,urdu,350,false,false,false,"Discover the depth and beauty of Youth Challenges. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
103,Identity for Muslim Youth,A comprehensive guide to identity for muslim youth,Islamic,Youth & Teens,/covers/cover_103.jpg,3.6,421,english,700,false,false,false,"Discover the depth and beauty of Identity for Muslim Youth. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
104,Peer Pressure,A comprehensive guide to peer pressure,Islamic,Youth & Teens,/covers/cover_104.jpg,3.7,428,bilingual,750,false,true,true,"Discover the depth and beauty of Peer Pressure. This carefully crafted book offers insights, guidance, and practical knowledge for readers seeking to expand their understanding."
